num,inc_time,arint,inc_type,location,dact
1,0.0,0.0,2.0,42,2072
2,1343.0,1343.0,1.0,52,643
3,2223.0,880.0,1.0,624,1314
4,3169.0,946.0,1.0,209,199
5,3205.0,36.0,1.0,586,402
6,4242.0,1037.0,2.0,287,550
7,4388.0,146.0,2.0,376,715
8,6656.0,2268.0,1.0,338,303
9,7142.0,486.0,1.0,519,492
10,7429.000000000001,287.0000000000009,1.0,67,230
11,7935.000000000001,506.0,1.0,463,866
12,9139.0,1203.999999999999,1.0,425,198
13,9561.0,422.0,1.0,295,149
14,10355.0,794.0,1.0,217,485
15,11801.0,1446.0,1.0,229,880
16,12140.0,339.0,1.0,160,790
17,12178.0,38.0,1.0,416,3583
18,13833.0,1655.0,1.0,344,704
19,14436.0,603.0,1.0,390,383
20,17888.0,3452.0,1.0,506,282
21,18019.0,131.0,1.0,220,265
22,18671.0,652.0,1.0,64,342
23,19541.0,870.0,1.0,220,259
24,21337.0,1796.0,1.0,615,515
25,22413.0,1076.0,2.0,417,1448
26,23133.0,720.0,1.0,422,455
27,23184.0,51.0,1.0,43,161
28,23227.0,43.0,1.0,326,290
29,23480.0,253.0,1.0,229,762
30,26484.0,3004.0,2.0,211,1570
31,26685.0,201.0,1.0,639,415
32,30268.000000000004,3583.0000000000036,1.0,82,356
33,36773.0,6504.999999999996,2.0,423,2065
34,38425.0,1652.0,1.0,471,1777
35,38432.0,7.0,3.0,357,2893
36,39625.0,1193.0,2.0,344,1382
37,40186.0,561.0,1.0,508,783
38,41485.0,1299.0,1.0,42,222
39,42022.0,537.0,1.0,522,1133
40,42275.0,253.0,2.0,498,1051
41,43814.0,1539.0,1.0,564,238
42,45986.0,2172.0,2.0,628,1338
43,46633.0,647.0,1.0,426,435
44,47126.0,493.0,1.0,656,364
45,47143.0,17.0,3.0,282,5185
46,47836.0,693.0,1.0,96,347
47,52482.0,4646.0,2.0,200,1097
48,54351.0,1869.0,1.0,263,649
49,55229.0,878.0,1.0,67,495
50,55571.0,342.0,2.0,112,885
51,56117.0,546.0,2.0,47,1757
52,57501.0,1384.0,1.0,172,328
53,57697.0,196.0,2.0,390,1959
54,58017.0,320.0,1.0,521,339
55,58604.00000000001,587.0000000000073,1.0,265,185
56,59577.00000000001,973.0,1.0,354,1008
57,60012.00000000001,435.0,1.0,620,693
58,60110.00000000001,98.0,2.0,588,1758
59,60576.00000000001,466.0,1.0,251,129
60,62454.00000000001,1878.0,1.0,250,437
61,65408.00000000001,2954.0,1.0,69,255
62,67213.0,1804.9999999999927,1.0,349,288
63,67919.0,706.0,1.0,421,544
64,68646.0,727.0,2.0,664,1698
65,69753.0,1107.0,1.0,602,1041
66,71220.0,1467.0,1.0,352,310
67,72126.0,906.0,1.0,342,187
68,73001.0,875.0,2.0,300,1593
69,73158.0,157.0,1.0,569,348
70,73376.0,218.0,1.0,100,211
71,73939.0,563.0,1.0,645,612
72,74012.0,73.0,1.0,342,242
73,75851.0,1839.0,1.0,175,283
74,76700.0,849.0,2.0,365,2224
75,77334.0,634.0,1.0,170,343
76,77477.0,143.0,1.0,217,184
77,79979.0,2502.0,1.0,351,289
78,80174.0,195.0,1.0,665,477
79,80599.0,425.0,1.0,233,1548
80,81197.0,598.0,1.0,55,480
81,83879.0,2682.0,1.0,557,641
82,84083.0,204.0,1.0,149,356
83,84130.0,47.0,1.0,262,505
84,85055.0,925.0,1.0,652,241
85,85846.0,791.0,1.0,9,3887
86,85948.0,102.0,1.0,36,3673
87,90338.0,4390.0,1.0,61,300
88,90394.0,56.0,1.0,202,1069
89,92158.0,1764.0,1.0,423,300
90,94178.0,2020.0,1.0,41,204
91,96185.0,2007.0,1.0,430,716
92,97343.0,1158.0,1.0,209,511
93,98701.0,1358.0,1.0,450,783
94,98948.0,247.0,1.0,75,236
95,101137.0,2189.0,1.0,457,295
96,104238.0,3101.0,1.0,203,386
97,104840.0,602.0,1.0,168,264
98,105565.0,725.0,3.0,586,4970
99,105952.0,387.0,1.0,402,600
100,107970.0,2018.0,1.0,575,396
101,111125.0,3155.0,1.0,352,283
102,111374.0,249.0,1.0,218,367
103,112004.0,630.0,1.0,352,427
104,112160.0,156.0,3.0,160,4993
105,112279.0,119.0,1.0,564,242
106,112752.0,473.0,1.0,654,735
107,115442.0,2690.0,1.0,377,524
108,124099.00000000001,8657.000000000015,1.0,209,229
109,124723.00000000001,624.0,1.0,5,363
110,132700.0,7976.999999999985,1.0,517,214
111,134034.0,1334.0,1.0,323,876
112,137597.0,3563.0,1.0,201,346
113,139876.0,2279.0,2.0,299,1560
114,144096.0,4220.0,2.0,201,432
115,144115.0,19.0,1.0,509,275
116,144269.0,154.0,2.0,241,196
117,145534.0,1265.0,1.0,591,508
118,146145.0,611.0,1.0,29,238
119,147127.0,982.0,1.0,525,664
120,149352.0,2225.0,1.0,686,1409
121,149632.0,280.0,1.0,194,867
122,151893.0,2261.0,2.0,201,806
123,152653.0,760.0,2.0,521,502
124,152845.0,192.0,1.0,282,1167
125,154846.0,2001.0,2.0,496,529
126,154936.0,90.0,1.0,223,445
127,156515.0,1579.0,3.0,201,4068
128,156975.0,460.0,2.0,369,367
129,156999.0,24.0,1.0,634,521
130,159432.0,2433.0,1.0,211,556
131,159726.0,294.0,1.0,297,1273
132,160317.0,591.0,1.0,24,586
133,161330.0,1013.0,1.0,275,437
134,161955.0,625.0,1.0,473,623
135,163671.0,1716.0,1.0,328,880
136,164055.0,384.0,1.0,97,430
137,164328.0,273.0,1.0,33,255
138,164814.0,486.0,1.0,463,691
139,165704.0,890.0,2.0,493,1985
140,166085.0,381.0,1.0,542,813
141,167498.0,1413.0,1.0,262,253
142,168071.0,573.0,2.0,202,1809
143,168246.0,175.0,1.0,455,706
144,169041.0,795.0,1.0,651,618
145,169412.0,371.0,1.0,604,236
146,170413.0,1001.0,1.0,211,177
147,170725.0,312.0,1.0,205,231
148,171789.0,1064.0,1.0,41,162
149,171834.0,45.0,1.0,6,1260
150,172286.0,452.0,1.0,22,459
151,172566.0,280.0,1.0,442,344
152,173318.0,752.0,2.0,97,339
153,173527.0,209.0,2.0,335,736
154,173544.0,17.0,1.0,577,472
155,176226.0,2682.0,1.0,684,649
156,178229.0,2003.0,1.0,152,220
157,178573.0,344.0,1.0,297,996
158,179523.0,950.0,1.0,298,200
159,180816.0,1293.0,1.0,509,549
160,181938.0,1122.0,1.0,405,675
161,184529.0,2591.0,1.0,200,249
162,185374.0,845.0,3.0,143,2907
163,188654.0,3280.0,1.0,495,585
164,205040.0,16386.0,1.0,667,204
165,209733.0,4693.0,1.0,567,354
166,212303.0,2570.0,1.0,557,1497
167,213573.0,1270.0,2.0,352,845
168,214715.0,1142.0,1.0,285,178
169,219764.0,5049.0,1.0,624,703
170,220805.0,1041.0,1.0,673,755
171,221255.0,450.0,2.0,471,1568
172,222973.0,1718.0,1.0,199,593
173,223874.0,901.0,1.0,503,682
174,224268.0,394.0,1.0,542,379
175,224636.0,368.0,2.0,193,1065
176,225390.0,754.0,2.0,444,901
177,227845.0,2455.0,1.0,444,251
178,229659.0,1814.0,1.0,175,286
179,230250.0,591.0,1.0,173,431
180,230607.0,357.0,1.0,209,285
181,231392.0,785.0,1.0,491,706
182,232382.0,990.0,1.0,167,274
183,234386.00000000003,2004.000000000029,1.0,230,929
184,236655.00000000003,2269.0,1.0,571,4322
185,236664.00000000003,9.0,1.0,284,363
186,237431.00000000003,767.0,1.0,416,2945
187,237525.00000000003,94.0,2.0,406,725
188,237763.00000000003,238.0,2.0,435,486
189,241005.00000000003,3242.0,1.0,453,313
190,244913.00000000003,3908.0,1.0,272,548
191,245078.00000000003,165.0,1.0,410,743
192,246539.00000000003,1461.0,1.0,272,717
193,247936.00000000003,1397.0,1.0,257,147
194,249322.00000000003,1386.0,1.0,553,239
195,250259.00000000003,937.0,1.0,228,306
196,251278.00000000003,1019.0,2.0,299,362
197,252780.00000000003,1502.0,2.0,218,518
198,253502.00000000003,722.0,2.0,78,1926
199,254324.00000000003,822.0,1.0,455,208
200,254403.00000000003,79.0,3.0,623,5922
201,254829.00000000003,426.0,2.0,249,1401
202,255918.00000000003,1089.0,1.0,309,2104
203,258937.00000000003,3019.0,3.0,451,4959
204,260131.00000000003,1194.0,3.0,586,4026
205,260878.00000000003,747.0,2.0,471,1387
206,262002.00000000003,1124.0,2.0,160,442
207,268701.0,6698.999999999971,3.0,652,4431
208,271010.0,2309.0,1.0,538,2114
209,273062.0,2052.0,2.0,20,793
210,278019.0,4957.0,1.0,226,749
211,289637.0,11618.0,1.0,674,2475
212,295402.0,5765.0,2.0,83,686
213,299199.0,3797.0,1.0,437,616
214,300558.0,1359.0,3.0,76,4122
215,308817.0,8259.0,2.0,203,841
216,310547.0,1730.0,3.0,623,2477
217,317468.0,6921.0,2.0,536,1045
218,317529.0,61.0,2.0,267,1569
219,320682.0,3153.0,1.0,76,470
220,321291.0,609.0,1.0,679,1125
221,322100.0,809.0,1.0,566,99
222,323053.0,953.0,1.0,228,369
223,324603.0,1550.0,2.0,620,1187
224,326818.0,2215.0,1.0,43,156
225,327153.0,335.0,2.0,503,1000
226,328084.0,931.0,1.0,446,256
227,329732.0,1648.0,1.0,295,326
228,331617.0,1885.0,2.0,422,569
229,333825.0,2208.0,1.0,132,442
230,333939.0,114.0,1.0,213,2210
231,334594.0,655.0,1.0,143,192
232,336770.0,2176.0,1.0,604,161
233,337297.0,527.0,2.0,51,1563
234,338965.0,1668.0,1.0,33,248
235,339849.0,884.0,1.0,55,549
236,342211.0,2362.0,2.0,684,604
237,343666.0,1455.0,1.0,449,230
238,343802.0,136.0,1.0,615,3387
239,344861.0,1059.0,1.0,130,267
240,347849.0,2988.0,2.0,62,1045
241,348403.0,554.0,1.0,419,332
242,356733.0,8330.0,2.0,418,638
243,363605.0,6872.0,1.0,51,172
244,363712.0,107.0,1.0,140,836
245,369363.0,5651.0,2.0,209,732
246,374136.0,4773.0,2.0,278,947
247,376584.0,2448.0,1.0,414,361
248,394204.0,17620.0,2.0,503,476
249,405718.0,11514.0,1.0,245,247
250,407144.0,1426.0,2.0,350,563
251,409095.0,1951.0,1.0,149,270
252,413222.0,4127.0,1.0,616,1621
253,414669.0,1447.0,1.0,684,610
254,415402.0,733.0,1.0,665,284
255,417693.0,2291.0,2.0,203,999
256,419054.0,1361.0,1.0,88,675
257,419284.0,230.0,1.0,534,2825
258,419907.0,623.0,2.0,206,1343
259,419958.0,51.0,1.0,82,441
260,423841.0,3883.0,2.0,471,502
261,424858.0,1017.0,1.0,415,270
262,425381.0,523.0,1.0,38,295
263,428830.0,3449.0,1.0,556,468
264,430653.0,1823.0,1.0,157,213
265,432133.0,1480.0,1.0,235,2491
266,433886.0,1753.0,1.0,473,1444
267,434248.0,362.0,2.0,3,1645
268,436380.0,2132.0,3.0,260,3358
269,437640.0,1260.0,1.0,593,387
270,441323.0,3683.0,2.0,522,1089
271,443496.0,2173.0,2.0,522,683
272,446285.0,2789.0,1.0,428,263
273,446487.0,202.0,2.0,624,763
274,446621.0,134.0,1.0,131,271
275,450908.0,4287.0,2.0,224,1420
276,451753.0,845.0,1.0,148,603
277,452277.0,524.0,2.0,654,337
278,457396.0,5119.0,1.0,248,169
279,457542.0,146.0,2.0,489,839
280,457637.0,95.0,3.0,496,4516
281,471750.00000000006,14113.000000000058,2.0,326,1623
282,473920.00000000006,2170.0,1.0,287,301
283,477794.00000000006,3874.0,2.0,460,925
284,483851.00000000006,6057.0,2.0,337,372
285,484282.00000000006,431.0,1.0,186,780
